IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo point
132669.0;Hêtre;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;Arbre;Jardin;PARIS 5E ARRDT;;;00000075;90.0;3.0;Mature;Inconnue;''Tortuosa'';1905-01-01T01:09:21+01:00;OUI;48.8448875264,2.35366916319
2002393.0;Hêtre;Fagus;sylvatica;PETITE ILE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-11;;000801001;200.0;10.0;Mature;Inconnue;''Pendula'';1857-01-01T01:02:49+00:53;OUI;48.8613685289,2.25898794355
201570.0;Hêtre;Fagus;sylvatica;STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES;Arbre;DJS;PARIS 16E ARRDT;16-38;;470306001;320.0;15.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8642003629,2.26796037248
112222.0;Micocoulier;Celtis;australis;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-05;;000303005;225.0;18.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8426413167,2.29609110812
155788.0;Plaqueminier;Diospyros;lotus;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20-01;;D00000077016;111.0;12.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8620845688,2.3985769149
305507.0;Erable;Acer;pseudoplatanus;PARC MONCEAU;Arbre;Jardin;PARIS 8E ARRDT;08-01;;00NO0144;427.0;28.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8787029872,2.30647417371
2002346.0;Platane;Platanus;x hispanica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-19;;000701005;500.0;40.0;Mature;Inconnue;;1847-01-01T01:02:49+00:53;OUI;48.8692243438,2.24601704099
113571.0;Pistachier;Pistacia;terebinthus;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00060050;171.0;10.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.845904263,2.25302676408
107079.0;Lilas de Perse;Melia;azedarach;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;P00411006;136.0;10.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.855701791,2.29637433742
2009236.0;Catalpa;Catalpa;bignonioides;TIR AU PIGEON / 32 ROUTE DE L ETOILE;Arbre;Jardin;BOIS DE BOULOGNE;16-62;;001301001;397.0;14.0;Mature;Inconnue;;1910-01-01T01:09:21+01:00;OUI;48.8740821646,2.25916497406
